ParticipantID,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8,genre_9,genre_10,genre_11,genre_12,genre_13,genre_14,genre_15,genre_16,genre_17,genre_18,genre_19,stim_1,stim_2,stim_3,stim_4,stim_5,stim_6,stim_7,stim_8,stim_9,stim_10,stim_11,stim_12,stim_13,stim_14,stim_15,stim_16,stim_17,stim_18,stim_19,stim_20,stim_21,stim_22,stim_23,stim_24,stim_25,stim_26,stim_27,stim_28,stim_29,stim_30,stim_31,stim_32,stim_33,stim_34,stim_35,stim_36,stim_37,stim_38,stim_39,stim_40,stim_41,stim_42,stim_43,stim_44,stim_45,stim_46,stim_47,stim_48,stim_49,stim_50,stim_51,stim_52,stim_53,stim_54,stim_55,stim_56,stim_57,stim_58,stim_59,stim_60,stim_61,stim_62,stim_63,stim_64,stim_65,stim_66,stim_67,stim_68,stim_69,stim_70,stim_71,stim_72,stim_73,stim_74,stim_75,stim_76,stim_77,stim_78,stim_79,stim_80,Age,Gender,Studies,Incomes,ListeningPerWeek,CatSocioParents,MusicPlaces,Musician,Foreign,Genetics,Groceries,City
1,3,3,3,3,2,2,2,0,0,0,0,2,2,0,2,2,2,1,2,2,-1,1,2,1,2,1,1,1,1,0,1,2,2,1,0,1,1,2,2,0,2,1,3,0,2,1,1,1,1,0,0,2,3,1,-1,1,1,1,2,0,3,2,2,1,2,2,0,1,2,3,0,2,0,1,3,3,1,0,0,2,1,1,-1,2,1,0,2,2,3,2,2,1,1,2,2,0,1,1,1,30,Male,1,7,3,2,Chiesa,0,0,50,4,Rome
2,-1,-1,3,3,3,2,1,-3,3,3,-3,3,1,2,-2,-3,2,3,NaN,3,1,1,3,2,2,3,3,1,0,-3,2,2,3,3,-2,-2,-2,3,0,2,-3,2,3,2,3,-2,-1,2,3,1,3,3,2,2,0,-2,3,1,3,-3,-2,0,3,3,2,-2,-3,0,3,3,3,3,-3,2,-3,-2,2,1,1,3,3,3,-3,3,0,2,-2,3,3,3,2,2,3,3,-2,0,1,-3,-3,23,Female,1,2,4,1,Serata in appartamento,0,0,50,3,Rome
3,2,1,-1,-2,-1,-1,2,-3,2,0,1,3,2,2,0,0,-3,3,-2,1,1,0,1,-2,0,0,1,0,1,1,-3,1,0,0,-1,-2,1,2,-1,1,0,1,-1,1,1,1,-2,0,2,-3,2,1,2,0,-2,2,2,0,1,0,0,-1,1,1,0,1,-2,0,1,1,1,3,1,0,-1,1,0,0,0,-1,-1,1,1,2,2,0,0,2,3,0,0,-2,1,1,0,-1,-1,0,0,23,Female,1,4,3,2,Locale,0,0,40,5,Rome
4,2,1,3,3,1,3,3,1,3,3,0,1,2,2,2,2,0,1,3,0,1,0,2,1,3,2,1,1,1,2,1,2,1,2,1,0,1,1,2,2,1,1,1,2,1,1,1,2,2,0,2,2,2,1,0,1,1,1,0,0,1,3,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,0,1,2,1,0,3,3,1,1,2,0,0,2,1,1,1,2,1,1,1,1,23,Male,1,2,4,3,In auto,1,0,50,4,Rome
5,-1,-1,2,2,2,2,2,0,-2,1,-3,1,3,-2,3,2,0,1,NaN,0,0,-2,1,0,1,-2,-1,1,-2,1,-2,-1,1,0,-1,1,-3,0,0,0,-1,2,0,1,0,0,-2,0,2,0,2,1,1,0,-3,1,-2,1,1,0,1,2,1,0,2,2,-2,-1,0,1,0,1,0,0,0,0,2,1,-3,1,0,-2,-3,-2,1,-3,0,0,1,2,-1,0,-1,2,-1,-1,0,-3,-2,25,Female,1,1,2,2,Locale,0,1,3,1,Rome
6,1,0,1,2,1,0,3,0,2,0,-1,2,3,3,0,0,-1,3,-2,1,3,0,0,3,3,0,2,2,2,1,2,3,0,2,0,-3,2,1,2,0,3,2,1,1,1,3,3,3,3,1,2,1,3,2,-2,-1,3,1,3,2,3,-2,3,3,2,2,0,0,1,3,3,2,3,1,2,2,2,-1,1,1,1,1,-1,3,3,0,0,1,3,2,0,-1,0,2,0,1,1,-2,-2,20,Male,1,1,4,3,In auto,0,0,15,1,Rome
7,0,-3,3,3,3,2,1,2,1,3,-3,3,3,3,2,3,-3,3,1,2,-3,-2,-1,-2,2,1,2,-3,3,1,1,-2,-2,1,-3,1,1,1,3,-3,2,1,-2,2,3,0,-3,3,2,-3,1,1,1,-2,-3,1,1,-1,1,-2,1,-1,0,2,3,2,-3,1,2,2,1,1,0,-2,-1,0,2,-1,-1,-3,-1,2,-3,3,2,2,0,2,3,-2,-2,-2,0,-3,0,1,-1,-3,-3,21,Female,1,5,5,1,In strada,0,0,0,1,Rome
8,1,0,2,1,2,1,1,-2,2,0,0,2,2,3,2,-1,-3,3,-2,-1,-2,2,1,-2,2,-2,0,1,-1,-2,-1,1,2,1,-3,-1,-1,-1,-2,-1,-1,3,-1,0,1,2,-3,0,2,-2,2,3,3,1,-2,-1,0,1,1,1,2,1,0,1,2,2,-1,-2,2,1,2,2,1,-1,1,0,1,1,-1,-1,1,1,-2,3,1,-1,0,1,2,-1,-1,1,-1,1,-2,0,-1,-2,0,19,Non-Binary,1,1,4,3,Serata in appartamento,0,0,-3,1,Rome
9,2,1,3,2,2,3,3,1,1,2,0,3,3,3,1,1,0,3,3,2,-1,-1,1,3,2,0,3,1,1,-2,-3,1,1,2,0,0,0,2,3,2,1,1,1,2,1,1,0,2,2,-3,3,2,3,0,-3,0,3,2,0,0,1,2,3,3,2,2,0,0,0,2,1,1,0,1,0,3,1,0,2,1,0,3,-2,3,2,-1,2,2,3,1,1,3,1,2,-2,1,-1,-1,1,24,Female,1,5,4,2,Serata in appartamento,0,0,5,4,Rome
10,2,-1,-2,-1,1,2,3,-1,2,-1,-2,2,3,2,2,2,1,2,2,1,-1,1,1,1,2,0,-1,1,1,-1,-1,1,1,1,-1,1,1,2,2,2,-1,2,-2,2,2,-1,-1,2,1,0,-1,-1,-1,-1,-1,2,1,-1,1,2,1,1,0,1,1,2,2,-1,1,3,2,2,0,1,-1,2,1,-1,0,1,2,-2,1,3,1,0,2,1,2,1,2,1,1,0,1,-1,1,2,1,25,Male,1,5,3,2,Sala da concerto,0,0,60,2,Rome
11,3,0,-1,-2,0,-2,1,-2,3,-2,-3,1,1,2,-3,-3,-3,1,1,0,3,-1,2,2,3,3,-3,3,0,3,2,0,3,3,-1,-3,1,3,2,3,0,3,3,2,0,2,1,3,3,2,3,1,3,3,-3,0,-3,1,2,2,-3,3,-1,-3,-1,3,-1,2,3,0,1,3,3,0,2,-3,3,3,-3,2,1,2,0,3,3,-3,3,3,3,3,-2,2,-2,3,2,3,3,0,-3,24,Female,1,1,3,3,Locale,1,1,0,3,Rome
12,-2,-2,0,2,1,0,2,1,2,1,-3,-2,2,1,1,0,1,1,-1,-1,1,-2,-1,1,-1,-2,0,-2,-1,-2,1,-1,2,-2,0,-3,-2,-1,0,2,1,0,1,-2,-1,-3,-2,-1,2,-1,2,-1,0,1,-3,-3,-1,-2,-1,0,2,-2,0,-1,1,-2,-2,0,1,-2,1,1,-2,-2,-2,-3,-1,-1,0,0,-3,-1,-3,1,0,-3,-1,-1,-2,2,1,-1,-2,1,-2,0,-2,-3,1,34,Male,1,4,3,1,In auto,0,0,20,2,Rome
13,2,1,3,3,2,1,1,0,3,3,-2,3,2,2,0,-2,0,2,0,2,-1,-2,2,2,2,-1,1,2,1,0,-2,1,1,2,-1,1,1,2,2,1,2,2,-2,-1,2,2,-3,1,3,0,3,2,2,-2,-2,-1,3,3,2,0,-2,1,3,3,2,1,-1,1,3,2,3,1,2,1,-1,0,-2,0,-2,1,1,-1,-2,3,3,1,0,1,3,2,-2,1,0,3,1,2,-3,-1,-3,27,Male,1,1,4,2,Locale,0,0,22,2,Rome
14,1,0,3,3,3,2,2,1,2,2,-3,3,1,1,NaN,2,-1,1,1,3,-1,2,1,1,2,2,1,1,2,-1,3,2,2,-1,0,2,-2,3,1,-1,3,2,0,3,1,1,0,2,3,-1,3,2,3,0,-3,1,2,3,1,-1,2,3,2,1,3,2,-3,0,2,3,1,2,-1,1,-1,3,2,1,-2,1,1,2,0,2,1,-3,2,3,3,1,2,3,-1,3,0,-1,1,-2,-1,23,Female,1,1,5,1,In auto,0,1,50,1,Rome
15,-2,-3,-2,-2,2,0,3,-1,2,0,-3,0,-3,2,1,2,2,3,2,0,2,-2,-1,1,1,1,-3,0,-1,0,1,3,2,-1,-1,1,-2,-2,-3,1,2,0,1,-1,1,-3,1,1,0,2,1,-2,1,1,0,1,0,0,1,2,1,1,1,1,0,0,2,1,2,0,2,2,0,-1,2,0,1,2,-2,0,1,0,-3,1,1,-2,1,2,1,3,1,2,0,1,2,1,1,-3,-1,33,Male,1,1,2,1,Locale,0,0,30,2,Rome
16,1,1,3,-1,3,3,2,-1,-1,1,-3,3,2,1,1,0,1,0,1,1,-1,2,2,2,2,2,2,-1,2,2,1,1,-1,0,-1,-1,0,1,2,2,0,0,1,0,0,-1,0,-1,1,-3,1,0,2,1,-3,-2,2,2,1,-1,0,-2,0,2,2,0,1,-2,2,2,0,2,0,1,-2,2,0,1,1,-1,2,3,-2,2,2,1,1,1,3,1,1,1,2,1,1,1,3,-1,2,28,Male,1,7,4,2,Serata in appartamento,0,1,30,1,Rome
17,2,3,3,3,-2,3,2,1,1,3,-3,2,-1,1,-2,-3,-3,1,0,1,1,-3,1,3,2,-1,-2,-2,-2,1,-3,2,0,1,-2,-2,-2,2,2,1,2,3,0,-2,-1,-3,-1,2,2,0,3,2,3,-1,-3,-3,-1,1,-2,1,-3,2,-1,1,-2,-2,-3,-1,1,2,2,3,-3,-2,-2,-3,-2,-1,-2,1,-1,1,-3,-1,1,-3,0,-2,3,0,0,-2,-2,1,0,-1,-2,-3,-3,27,Female,1,5,5,3,In auto,1,0,20,4,Rome
18,1,0,2,2,3,3,1,1,2,2,1,2,2,0,1,-1,-1,2,1,1,1,-1,1,2,2,0,0,1,-1,0,0,1,2,0,-1,-1,-2,1,1,1,1,1,0,1,0,2,-1,1,2,0,2,1,0,1,-1,-1,0,0,2,1,-2,1,2,1,0,2,-1,1,2,2,2,2,0,0,-1,0,0,0,-2,1,1,0,2,2,2,-1,1,3,2,1,0,1,-1,2,2,1,1,1,-1,28,Male,1,1,2,2,Locale,0,0,0,3,Rome
19,-2,-3,-2,-1,0,1,3,1,1,1,-3,-2,1,2,1,2,2,2,2,1,-2,-1,2,1,1,-2,1,-2,-1,-2,-3,-1,2,-2,-3,2,-1,0,1,2,1,2,-1,1,1,1,1,0,1,-2,0,1,1,-3,-3,1,2,0,-2,1,1,0,0,2,1,1,-2,-1,-2,0,1,1,-1,3,0,2,1,-1,2,-2,0,-1,-3,2,-2,-3,0,-1,-2,1,2,0,3,-1,-2,0,1,-3,2,25,Male,1,1,3,1,In auto,0,0,60,3,Rome
20,2,0,2,2,2,2,2,0,2,2,1,3,3,3,1,2,2,2,1,2,-1,-1,1,0,2,2,1,1,2,-2,-2,0,0,0,-2,0,0,3,2,1,1,2,0,1,2,2,-3,1,2,-2,1,1,2,-1,-3,1,3,2,1,-2,2,0,3,2,3,0,-2,-2,1,3,2,0,2,2,-1,1,1,-2,1,0,1,1,-1,1,0,-1,0,0,2,1,1,1,1,1,-2,2,0,-2,2,21,Female,1,1,3,2,In auto,0,1,27,5,Rome
21,-1,-3,2,2,2,1,2,-3,3,-3,3,3,-1,3,2,2,1,3,2,1,1,0,0,1,1,2,0,1,-1,0,2,2,1,1,1,1,-2,0,1,2,-1,1,1,2,1,2,-1,2,2,-2,1,0,3,0,-3,2,1,0,1,2,0,1,1,1,1,0,2,1,3,1,1,2,1,0,0,0,1,-2,-1,1,-1,1,2,3,0,1,1,1,3,2,2,1,0,3,2,1,-2,1,-3,27,Male,1,4,5,2,Sala da concerto,0,0,20,2,Rome
22,1,0,0,0,-3,0,3,-1,1,1,1,1,3,3,0,-3,0,0,0,-2,-3,-2,2,-3,1,1,0,1,-1,-1,-3,1,0,0,-3,0,-1,0,0,-1,1,1,-2,1,0,-1,-3,2,-3,-3,1,0,-1,-1,-3,0,3,0,0,-3,3,-3,0,3,3,2,0,-1,1,3,2,2,0,3,0,3,-3,-2,3,-2,0,0,-2,-1,-2,-1,2,-3,3,-1,-1,0,3,1,-3,1,-1,0,0,20,Female,1,1,5,3,In auto,0,0,0,1,Rome
23,2,0,2,2,1,3,1,3,0,3,-1,3,3,1,2,3,0,2,2,-1,-1,0,0,1,2,0,1,1,2,1,0,2,3,1,-1,-1,1,3,1,0,1,3,2,1,2,3,0,1,3,0,2,2,1,-1,-1,-1,1,3,-1,-1,-2,0,1,2,2,2,1,0,1,1,-1,0,1,-2,1,2,1,0,0,3,1,-1,-1,2,2,0,3,2,2,1,2,1,-1,2,-2,1,0,0,-2,24,Male,1,3,5,2,Locale,1,0,0,1,Rome
24,1,1,3,1,-1,3,2,2,2,3,-1,2,1,1,NaN,2,-1,0,1,2,1,1,1,1,1,2,1,-1,2,1,0,1,1,1,0,0,1,1,2,2,1,2,1,2,1,3,1,2,1,0,2,3,1,1,-1,-3,3,3,2,-1,-1,0,1,1,1,3,0,1,2,2,0,-1,1,1,1,0,1,1,1,2,-1,2,0,1,2,1,3,2,0,2,3,2,2,2,-3,0,2,-3,2,24,Male,1,1,3,3,In strada,1,1,40,2,Rome
25,0,0,1,3,1,3,1,1,3,3,0,2,1,2,0,-3,2,0,2,1,1,-3,3,-2,2,-2,1,0,3,-2,-2,0,2,-1,2,1,1,2,3,-2,-1,1,-1,1,3,3,-2,1,3,-1,1,3,3,-2,-3,2,1,1,2,-2,-3,3,2,3,1,1,-2,1,-2,2,1,0,3,2,2,-2,-2,-1,-1,1,1,2,-2,3,1,1,1,1,1,2,-2,-1,1,1,1,3,-3,-2,-3,26,Male,1,6,5,1,In auto,0,0,80,3,Rome
26,0,-2,1,1,2,1,1,2,3,1,-2,-2,1,3,1,1,1,1,2,1,0,0,2,1,1,0,1,-1,1,-1,-2,3,2,0,0,1,0,1,1,2,1,3,0,1,2,3,-1,2,3,-1,1,2,3,0,-3,0,3,1,3,1,0,0,3,3,3,2,-2,0,1,3,1,1,2,0,-1,1,1,2,1,1,2,0,-3,3,-1,-1,0,2,-2,1,2,2,1,1,0,0,-1,-3,-1,21,Female,1,2,3,3,Serata in appartamento,0,1,45,2,Rome
27,2,3,2,2,0,3,3,1,2,3,-2,-2,-1,0,2,2,1,2,2,1,2,1,1,2,1,1,-1,1,-1,2,1,1,1,1,2,-2,-3,-1,0,1,1,1,1,-1,-1,0,1,1,2,1,1,-1,1,1,0,-3,-2,-1,1,1,-2,2,0,0,-3,2,0,1,2,-1,1,1,0,-2,1,-2,1,1,-3,2,1,0,-2,0,1,0,1,1,-3,2,1,1,-3,0,2,1,2,-2,-2,34,Male,1,3,4,2,Serata in appartamento,1,0,50,6,Rome
28,2,1,3,3,3,3,2,3,3,3,1,3,2,3,0,-1,1,2,2,2,1,1,1,1,3,0,2,3,1,2,0,1,3,2,1,2,0,3,3,1,0,2,3,0,2,3,-1,1,3,1,3,2,3,0,1,2,3,1,2,0,2,1,1,3,3,0,2,0,3,3,1,3,3,3,0,1,1,0,-3,3,2,1,2,3,3,2,3,0,3,2,-1,3,-2,2,0,2,1,-1,-2,28,Male,1,3,3,3,Serata in appartamento,1,0,25,5,Rome
29,2,0,2,3,1,2,3,1,3,1,-3,2,1,2,3,1,2,2,3,1,-1,1,0,1,1,2,-1,1,-2,2,1,0,1,1,2,-2,-3,1,1,2,-1,1,2,0,1,0,2,2,2,1,2,0,1,1,1,-3,-3,0,0,1,1,2,1,0,-1,0,2,1,1,-1,2,2,2,-2,1,2,0,0,-2,0,0,1,-3,3,3,1,1,1,-1,2,0,1,1,2,-2,1,1,-3,-1,28,Male,1,1,4,3,Locale,1,0,0,1,Rome
30,3,3,2,2,3,3,3,2,3,2,-1,2,2,3,2,2,2,3,3,3,-1,1,1,2,-1,1,-1,3,1,-2,-2,1,1,-1,-3,-2,-2,3,-2,1,2,1,2,1,2,2,1,2,2,1,2,2,2,3,-3,-3,1,1,1,-1,1,-2,3,1,0,1,-2,-1,3,-2,1,3,-1,1,-2,-2,-1,2,1,2,-3,2,-2,3,3,-2,1,2,3,0,2,1,0,1,1,-1,1,-2,1,19,Female,1,2,4,2,Serata in appartamento,0,0,70,3,Rome
31,1,2,1,0,0,2,3,-3,3,1,1,3,0,2,-1,-3,0,1,NaN,1,1,-1,-1,1,2,3,1,3,3,1,2,-2,-1,1,-2,-3,1,3,-1,2,2,1,0,-1,0,-2,-2,1,3,3,1,0,3,1,0,2,2,0,-2,0,1,3,0,2,0,1,-1,-1,2,1,3,-1,1,1,-3,1,0,-1,-3,0,-3,0,1,3,2,1,1,2,3,-2,2,-2,1,2,-1,0,1,0,-3,20,Female,1,3,3,1,Serata in appartamento,0,1,40,1,Rome
32,1,1,3,3,-1,-3,0,1,2,3,-3,-3,-3,-3,-2,-2,-2,-2,2,1,0,0,1,0,0,0,1,-2,-1,0,-1,1,1,0,-2,0,-2,1,0,0,2,3,0,0,-1,-1,-1,-1,1,-1,1,0,1,0,-3,0,2,1,0,0,-2,-2,0,1,0,1,-1,-1,1,0,1,0,-3,3,-1,0,1,-1,0,0,0,1,-3,1,0,-1,2,1,-2,0,0,0,0,2,1,0,0,-3,1,-59,Female,1,1,1,1,Locale,0,0,10,2,Rome
33,-1,-1,2,2,3,3,-1,1,1,2,-1,1,-1,1,1,-2,-2,2,0,3,-1,0,1,2,2,-1,-1,2,1,-2,-1,2,2,0,0,-2,-1,3,1,1,3,2,2,1,0,3,-3,1,3,1,3,1,2,0,-1,-3,1,0,2,0,0,0,3,1,1,2,-1,0,1,1,3,0,0,-2,0,-2,-1,2,-1,1,-1,0,0,3,0,-1,2,2,2,1,0,0,1,2,-1,0,0,-3,-2,20,Female,1,1,5,1,Locale,0,0,30,1,Rome
34,-3,-3,2,2,-1,-1,-1,-1,3,2,3,3,2,2,-1,-3,-3,3,3,1,0,0,1,0,0,0,1,-2,-1,0,-1,1,1,0,-2,0,-2,1,0,0,2,3,0,0,-1,-1,-1,-1,1,-1,1,0,1,0,-3,0,2,1,0,0,-2,-2,0,1,0,1,-1,-1,1,0,1,0,-3,3,-1,0,1,-1,0,0,0,1,-3,1,0,-1,2,1,-2,0,0,0,0,2,1,0,0,-3,1,21,Female,1,1,3,3,Sala da concerto,1,0,60,5,Rome
35,2,2,-1,-1,2,0,2,1,-3,1,-3,1,2,0,1,2,1,2,2,3,2,2,1,2,3,2,1,3,1,3,2,1,1,1,1,1,1,-1,1,2,1,1,2,1,-2,1,1,3,1,0,2,1,3,2,1,-1,2,0,1,0,3,3,1,2,2,2,-1,1,2,2,3,2,0,0,0,0,2,2,2,1,1,1,-3,-1,0,1,1,0,1,-1,2,0,2,1,1,0,2,-2,1,30,Female,1,4,1,1,Locale,0,0,60,2,Rome
36,2,2,3,2,3,3,2,1,3,2,2,2,3,3,2,3,2,3,3,2,2,2,2,2,3,2,2,2,1,2,2,3,2,1,1,1,2,3,2,1,2,2,1,2,2,2,2,2,3,2,3,2,2,1,2,2,3,2,2,2,2,2,1,1,2,2,1,1,1,2,3,3,1,2,2,1,2,1,2,1,2,2,2,2,2,1,3,2,2,2,2,1,2,3,2,1,2,2,2,21,Male,1,1,3,3,In auto,0,0,0,5,Rome
37,-3,-3,-2,-2,1,1,2,-1,3,2,2,3,3,3,0,0,0,-3,1,2,1,-2,1,1,1,0,1,-3,3,1,0,1,2,0,2,-1,-3,1,2,0,1,2,1,2,2,-1,1,0,1,1,1,2,-1,1,1,1,0,0,1,1,1,1,2,2,2,0,-1,1,2,2,2,1,1,3,-3,2,2,1,-3,-1,1,1,2,2,1,0,1,2,3,-1,1,2,-2,1,1,1,0,2,-2,23,Female,1,1,3,1,In auto,0,0,30,6,Rome
38,-2,NaN,2,2,1,-2,0,NaN,1,1,-3,2,3,1,0,2,-1,0,2,2,-3,-2,-1,-2,2,1,2,-3,3,1,1,-2,-2,1,-3,1,1,1,3,-3,2,1,-2,2,3,0,-3,3,2,-3,1,1,1,-2,-3,1,1,-1,1,-2,1,-1,0,2,3,2,-3,1,2,2,1,1,0,-2,-1,0,2,-1,-1,-3,-1,2,-3,3,2,2,0,2,3,-2,-2,-2,0,-3,0,1,-1,-3,-3,20,Female,1,1,4,1,Locale,0,0,17,3,Rome
39,2,-2,3,1,2,2,0,-1,3,2,2,2,2,3,-2,0,1,0,1,0,1,-1,0,3,2,0,-1,-1,3,1,1,2,1,1,1,-2,0,0,2,1,-3,3,1,0,1,3,2,2,-2,2,3,1,2,-1,2,1,-1,-1,-1,-1,-2,1,-1,-1,0,1,3,2,1,2,-2,-2,3,3,-2,-3,3,2,-2,1,-2,3,2,3,3,3,1,1,-3,3,1,0,2,2,-1,3,2,1,1,25,Male,1,1,5,3,Serata in appartamento,1,0,20,3,Rome
40,-3,-3,0,-2,-3,1,3,-3,1,0,-2,1,2,2,0,-3,0,1,2,1,-2,-1,1,0,1,0,2,1,3,-2,-1,0,0,1,-3,1,2,1,1,1,1,1,-1,1,2,3,-3,1,1,-3,1,0,1,0,-3,2,2,0,1,-2,-2,-2,-3,2,0,-1,-1,-1,-1,1,1,1,1,2,-1,1,-1,-1,3,0,-2,2,0,2,1,1,1,-1,2,1,-3,-2,2,1,-3,-2,0,1,1,24,Female,1,2,2,1,Serata in appartamento,0,0,45,4,Rome
41,3,3,3,3,1,2,-3,1,3,3,-3,0,0,3,1,1,1,3,3,3,2,1,3,3,3,3,-1,3,3,3,3,2,2,3,2,-2,-1,3,3,1,2,2,3,-1,-1,3,3,3,3,3,3,3,3,2,3,-1,3,2,1,0,-2,3,2,-1,3,3,1,0,-1,2,-1,1,3,-2,1,-3,-2,2,-2,1,1,2,-3,3,3,3,2,1,3,2,-1,1,-2,1,-2,3,-2,-3,-3,23,Male,0,1,5,3,Serata in appartamento,1,1,57,6,Rome
42,2,1,3,3,1,2,1,0,2,2,-2,1,1,1,0,1,0,2,1,1,1,0,1,1,0,2,1,1,1,1,0,2,3,1,0,0,-1,1,1,1,1,2,1,0,0,1,0,1,2,2,1,0,1,1,-2,1,2,2,2,1,1,2,1,1,1,2,-2,1,1,0,2,2,0,0,1,0,1,2,-1,1,1,2,0,3,2,1,1,1,-1,1,1,2,1,3,1,1,1,-2,1,24,Male,1,2,2,2,Sala da concerto,0,0,65,3,Rome
43,2,1,1,2,0,0,0,-1,-3,2,-3,1,0,1,1,2,1,2,0,1,1,1,1,2,1,-2,1,0,2,1,1,1,2,1,1,-3,1,2,2,1,2,1,2,1,1,0,1,3,1,1,1,1,2,1,-1,-2,1,1,0,0,1,2,1,-2,2,2,3,1,1,-3,-1,2,2,-3,1,-3,3,2,1,0,1,1,-3,-1,2,1,1,2,1,2,1,0,-3,1,1,1,2,-3,-2,23,Female,1,1,2,1,Serata in appartamento,1,1,3,2,Rome
44,2,0,2,0,-2,-1,1,-2,2,-1,0,1,-1,2,-1,0,1,2,1,3,2,0,1,1,2,2,-2,3,-3,1,1,1,1,3,2,-1,1,2,-3,1,2,0,3,-3,2,1,2,3,1,3,2,0,2,1,2,1,-2,1,2,2,-3,0,0,1,-3,1,0,2,-1,-3,3,2,2,0,2,-2,-3,2,0,2,0,3,1,1,1,1,2,1,-1,2,-1,2,1,2,1,2,-1,1,2,25,Male,1,1,3,1,Locale,0,0,0,3,Rome
45,0,0,3,3,2,NaN,2,0,1,1,-3,3,3,2,-3,1,2,1,2,-1,-1,1,1,-1,1,2,0,2,-3,-2,-1,-2,2,-2,1,-3,-1,0,1,1,2,-2,-3,0,0,-2,1,2,2,1,3,-2,1,-1,-3,-1,2,-2,1,0,0,2,-1,1,2,-1,-1,1,3,1,1,2,1,-1,-1,-2,1,0,-2,1,0,0,0,1,2,1,-2,1,0,-1,0,-2,-2,-1,1,0,2,-1,-1,18,Male,1,1,3,3,In auto,0,0,25,1,Rome
46,3,3,3,3,0,1,0,2,3,1,NaN,-3,-1,-3,0,0,1,0,NaN,3,-1,3,1,1,2,1,0,-2,1,0,1,2,3,1,3,0,-1,1,3,3,-2,3,0,2,1,0,0,-2,3,1,3,1,3,0,-3,1,0,3,-3,1,-1,2,1,0,0,3,0,0,2,0,0,2,-2,2,0,2,1,1,2,2,2,-1,-1,2,2,-1,3,2,-1,-1,3,1,3,2,0,0,2,-1,3,36,Male,1,2,3,2,Locale,1,0,1,2,Rome
47,-2,3,3,3,0,0,-1,-2,-2,0,-2,0,1,0,1,0,0,-3,0,0,0,-2,0,0,0,0,0,0,-1,-1,0,0,0,-2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,-2,0,0,-1,1,0,0,-1,0,-1,0,0,0,0,0,0,0,1,0,0,0,1,-1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27,Male,1,6,1,1,In auto,0,0,0,6,Rome
